Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 73,504,"Ministry of Personnel, Public Grievances and Pensions ",Administrative Reforms and Pensioners' Scheme,17.56, NA,17.56,35, NA,35,18.03, NA ,18.03,20, NA,20
Demand No. 75,505,Ministry of Petroleum and Natural Gas ,Payment of differential royalty to State Governments,1962.31, NA,1962.31,43.2, NA,43.2,23.2, NA ,23.2,24, NA,24
Demand No. 75,506,Ministry of Petroleum and Natural Gas ,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems), NA, NA, NA, NA,10,10, NA,0.01,0.01, NA,210,210
Demand No. 75,507,Ministry of Petroleum and Natural Gas ,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve, NA, NA, NA, NA,690,690, NA,2550,2550, NA, NA, NA
Demand No. 75,508,Ministry of Petroleum and Natural Gas ,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),120, NA,120,155, NA,155,178.24, NA ,178.24,186.34, NA,186.34
Demand No. 75,509,Ministry of Petroleum and Natural Gas ,Pradhan Mantri JI-VAN Yojna, NA, NA, NA,53, NA,53,31.8, NA ,31.8,233.31, NA,233.31
Demand No. 75,510,Ministry of Petroleum and Natural Gas ,National Bio-Fuel Fund, NA, NA, NA,1, NA,1,0.01, NA ,0.01,1, NA,1
Demand No. 75,511,Ministry of Petroleum and Natural Gas ,Direct Benefit Transfer - LPG,29627.76, NA,29627.76,35605, NA,35605,25520.79, NA ,25520.79,12480, NA,12480
Demand No. 75,512,Ministry of Petroleum and Natural Gas ,LPG Connection to Poor Households,3724, NA,3724,1118, NA,1118,9690, NA ,9690, NA, NA, NA
Demand No. 75,513,Ministry of Petroleum and Natural Gas ,Other subsidy payable including for North Eastern Region,643.1, NA,643.1,457.21, NA,457.21,498, NA ,498,450, NA,450
Demand No. 75,514,Ministry of Petroleum and Natural Gas ,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex, NA, NA, NA, NA, NA, NA,265.04, NA ,265.04,1078.35, NA,1078.35
Demand No. 75,515,Ministry of Petroleum and Natural Gas ,Project Management Expenditure,91, NA,91,76, NA,76,98.64, NA ,98.64,65, NA,65
Demand No. 75,516,Ministry of Petroleum and Natural Gas ,Cash Incentives for Kerosene Distribution Reforms,257, NA,257,442, NA,442,266, NA ,266, NA, NA, NA
Demand No. 75,517,Ministry of Petroleum and Natural Gas ,Direct  Benefit Transfer- Kerosene,127.92, NA,127.92,41, NA,41,39, NA ,39, NA, NA, NA
Demand No. 75,518,Ministry of Petroleum and Natural Gas ,Under-recovery (other Subsidy Payable),4058, NA,4058,3176, NA,3176,2677.32, NA ,2677.32, NA, NA, NA
Demand No. 75,519,Ministry of Petroleum and Natural Gas ,Phulpur Dhamra Haldia Pipeline Project,1552.11, NA,1552.11,728.03, NA,728.03,728.03, NA ,728.03,250, NA,250
Demand No. 75,520,Ministry of Petroleum and Natural Gas ,National Seismic Programme, NA,529.54,529.54, NA,207,207, NA,63,63, NA,217,217
Demand No. 75,521,Ministry of Petroleum and Natural Gas ,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid, NA, NA, NA, NA, NA, NA,180, NA ,180,500, NA,500
Demand No. 76,522,Ministry of Planning ,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),308.3, NA,308.3,300, NA,300,332.5, NA ,332.5,342, NA,342
Demand No. 76,523,Ministry of Planning ,Ongoing Programme and Schemes,166.13, NA,166.13,247,0.78,247.78,334,0.78,334.78,31.22,0.78,32
Demand No. 76,524,Ministry of Planning ,Official Development Assistance for Sustainable Development Goals (EAP Component), NA, NA, NA, NA, NA, NA, NA, NA , NA,581, NA,581
Demand No. 77,525,"Ministry of Ports, Shipping and Waterways ",Development of Major Ports,107, NA,107, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 77,526,"Ministry of Ports, Shipping and Waterways ",Development of Minor Ports,55.44,41.71,97.15,67.5,75,142.5,67.5,60,127.5,75.9,58,133.9
Demand No. 77,527,"Ministry of Ports, Shipping and Waterways ",Oil Pollution and Research and Development.,3.66, NA,3.66,1, NA,1,0.2, NA ,0.2,1, NA,1
Demand No. 77,528,"Ministry of Ports, Shipping and Waterways ",Sagarmala,176.87,200,376.87,297, NA,297,147,100,247,301,100,401
Demand No. 77,529,"Ministry of Ports, Shipping and Waterways ","Assistance to Ship Building, Research and Development",42.43, NA,42.43,151, NA,151,129.3, NA ,129.3,101, NA,101
Demand No. 77,530,"Ministry of Ports, Shipping and Waterways ",Grants to Inland Water Transport Authority of India,224.23, NA,224.23,301.8, NA,301.8,203.2, NA ,203.2,252.1, NA,252.1
Demand No. 77,531,"Ministry of Ports, Shipping and Waterways ",IWAI Projects,306.38, NA,306.38,376.5, NA,376.5,338, NA ,338,371.5, NA,371.5
Demand No. 77,532,"Ministry of Ports, Shipping and Waterways ",Aid to Bangladesh,0.01, NA,0.01, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 77,533,"Ministry of Ports, Shipping and Waterways ",Actual Recoveries,-19.19, NA,-19.19, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 78,534,Ministry of Power ,Energy Conservation Schemes,96.03, NA,96.03,109.99, NA,109.99,36.95, NA ,36.95,80, NA,80
Demand No. 78,535,Ministry of Power ,Deen Dayal Upadhyaya Gram Jyoti Yojna,3926.21, NA,3926.21,4500, NA,4500,2000, NA ,2000,3600, NA,3600
Demand No. 78,536,Ministry of Power ,Integrated Power Development Scheme,4682.68,877.45,5560.13,4400,900,5300,3700,300,4000,3750,1550,5300
Demand No. 78,537,Ministry of Power ,Strengthening of Power Systems,1651.1,161.97,1813.07,1810,33,1843,801,18.67,819.67,1440,14.95,1454.95
Demand No. 78,538,Ministry of Power ,Power System Development Fund,555.32, NA,555.32,574.16, NA,574.16,824.16, NA ,824.16,574.16, NA,574.16
Demand No. 78,539,Ministry of Power ,Reform Linked Distribution Scheme, NA, NA, NA,0.01, NA,0.01,0.01, NA ,0.01,0.01, NA,0.01
Demand No. 84,540,Ministry of Railways ,Transfer to Central Road and Infrastructure Fund, NA,17250,17250, NA,18500,18500, NA,100398,100398, NA,49800,49800
Demand No. 84,541,Ministry of Railways ,Transfer to National Investment Fund, NA,50587,50587, NA,51500,51500, NA,5000,5000, NA,57300,57300
Demand No. 84,542,Ministry of Railways ,New Lines (Construction), NA,9871.48,9871.48, NA,12000,12000, NA,928.74,928.74, NA,16246,16246
Demand No. 84,543,Ministry of Railways ,Gauge Conversion, NA,3312.53,3312.53, NA,2250,2250, NA,25.96,25.96, NA,1803.01,1803.01
Demand No. 84,544,Ministry of Railways ,Doubling, NA,678.38,678.38, NA,700,700, NA,96.55,96.55, NA,3000,3000
Demand No. 84,545,Ministry of Railways ,Computerisation, NA,282.81,282.81, NA,395,395, NA,313,313, NA,545,545
Demand No. 84,546,Ministry of Railways ,Traffic Facilities - Yard Remodelling and Others, NA,1584.18,1584.18, NA,1225,1225, NA,149.05,149.05, NA,1128,1128
Demand No. 84,547,Ministry of Railways ,Railway Research, NA,26.8,26.8, NA,70.1,70.1, NA,50,50, NA,85.65,85.65
Demand No. 84,548,Ministry of Railways ,Rolling Stock, NA,3962.87,3962.87, NA,5786.97,5786.97, NA,2004,2004, NA,6815.36,6815.36
Demand No. 84,549,Ministry of Railways ,Leased assets - Payment of Capital Component, NA,10462.21,10462.21, NA,11936.72,11936.72, NA,11966.72,11966.72, NA,19458.8,19458.8
Demand No. 84,550,Ministry of Railways ,Road Safety Works - Level Crossings, NA,570.6,570.6, NA,700,700, NA,0.03,0.03, NA,800,800
Demand No. 84,551,Ministry of Railways ,Road Safety Works - Road Over/Under Bridges, NA,3521.74,3521.74, NA,4350.01,4350.01, NA,1.73,1.73, NA,5500,5500
Demand No. 84,552,Ministry of Railways ,Track Renewals, NA,9387.41,9387.41, NA,10599.47,10599.47, NA,0.01,0.01, NA,10695,10695
Demand No. 84,553,Ministry of Railways ,Bridge Works, NA,781.5,781.5, NA,777,777, NA,16.63,16.63, NA,900,900
Demand No. 84,554,Ministry of Railways ,Signalling and Telecom, NA,1622.63,1622.63, NA,1650,1650, NA,1.37,1.37, NA,2448.3,2448.3
Demand No. 84,555,Ministry of Railways ,Electrification Projects, NA,0.95,0.95, NA,1,1, NA,1.75,1.75, NA,10,10
Demand No. 84,556,Ministry of Railways ,Other Electrical Works, NA,482.86,482.86, NA,780,780, NA,91.76,91.76, NA,850,850
Demand No. 84,557,Ministry of Railways ,Machinery and Plant, NA,458.38,458.38, NA,624,624, NA,350,350, NA,630,630
Demand No. 84,558,Ministry of Railways ,Workshop Including Production Units, NA,2093.17,2093.17, NA,2052,2052, NA,224.24,224.24, NA,1850,1850
Demand No. 84,559,Ministry of Railways ,Staff Welfare, NA,481.28,481.28, NA,681.79,681.79, NA,305,305, NA,650.33,650.33
Demand No. 84,560,Ministry of Railways ,Passenger and other Railway Users' Amenities, NA,1903.1,1903.1, NA,2725.63,2725.63, NA,1775.4,1775.4, NA,2800,2800
Demand No. 84,561,Ministry of Railways ,Investment in Government Commercial Undertakings - Public Undertakings, NA,16924.88,16924.88, NA,17355,17355, NA,15620,15620, NA,37269.8,37269.8
Demand No. 84,562,Ministry of Railways ,Other Specified Works, NA,455.83,455.83, NA,875,875, NA,420.64,420.64, NA,775,775
Demand No. 84,563,Ministry of Railways ,Traning/Human Resource Development, NA,85.73,85.73, NA,148.5,148.5, NA,9,9, NA,97.4,97.4
Demand No. 84,564,Ministry of Railways ,Stores Suspense, NA,21151.54,21151.54, NA,24333.48,24333.48, NA,15823.4,15823.4, NA,20342.14,20342.14
Demand No. 84,565,Ministry of Railways ,Manufacturing Suspense, NA,39854.4,39854.4, NA,43773.76,43773.76, NA,34154.82,34154.82, NA,40097.49,40097.49
Demand No. 84,566,Ministry of Railways ,Miscellaneous Advances, NA,1036.65,1036.65, NA,438.99,438.99, NA,732.6,732.6, NA,1131.68,1131.68
Demand No. 84,567,Ministry of Railways ,Metropolitan Transportation Projects, NA,1515.18,1515.18, NA,1400,1400, NA,278.5,278.5, NA,1900,1900
Demand No. 84,568,Ministry of Railways ,Transfer to Rashtirya Rail Sanraksha Kosh, NA,15023.88,15023.88, NA,20000,20000, NA,2000,2000, NA,20000,20000
Demand No. 84,569,Ministry of Railways ,Amount met from, NA,-147528.21,-147528.21, NA,-167629.42,-167629.42, NA,-163738.9,-163738.9, NA,-197828.96,-197828.96
Demand No. 84,570,Ministry of Railways ,Special loan for Covid related resource gap, NA, NA, NA, NA, NA, NA, NA,79398,79398, NA, NA, NA
Demand No. 85,571,Ministry of Road Transport and Highways ,National Highways Authority of India, NA,31691,31691, NA,42500,42500, NA,49050,49050, NA,57350,57350
Demand No. 85,572,Ministry of Road Transport and Highways ,Road Works,9587.06,36704.89,46291.95,9304.42,39454.71,48759.13,9359.96,42997.67,52357.63,9381.17,50860.11,60241.28
Demand No. 85,573,Ministry of Road Transport and Highways ,Works Financed from  PBFF,10.46,2.59,13.05,18.32, NA,18.32,18.32, NA ,18.32,20.07, NA,20.07
Demand No. 85,574,Ministry of Road Transport and Highways ,"Research, Training and Studies",140.2, NA,140.2, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 85,575,Ministry of Road Transport and Highways ,"Research, Training, Studies and Other Road Safety Schemes", NA,8,8,359,20,379,225,5.5,230.5,316,20,336
Demand No. 85,576,Ministry of Road Transport and Highways ,Actual Recoveries,-0.24,-32.98,-33.22, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 86,577,Department of Rural Development ,Management Support to Rural Development Programs and Strengthening of District Planning Process,141.38, NA,141.38,367.46, NA,367.46,341.44, NA ,341.44,364.38, NA,364.38
Demand No. 86,578,Department of Rural Development ,Grants to Council for Advancement of People's Action and Rural Technology (CAPART),19.07, NA,19.07, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 86,579,Department of Rural Development ,Socio-Economic and Caste Census Survey, NA, NA, NA,0.01, NA,0.01,0.01, NA ,0.01,0.01, NA,0.01
Demand No. 86,580,Department of Rural Development ,Grants to National Institute of Rural Development,80.42, NA,80.42, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 87,581,Department of Land Resources ,Land Records Modernization Programme,43.79, NA,43.79,238.65, NA,238.65,238, NA ,238,150, NA,150
Demand No. 88,582,Department of Science and Technology ,Science and Technology Institutional and Human Capacity Building,1069.3, NA,1069.3,1162.5, NA,1162.5,911.35, NA ,911.35,1099.8, NA,1099.8
Demand No. 88,583,Department of Science and Technology ,Research and Development,584.1, NA,584.1,718, NA,718,402.5, NA ,402.5,593.94, NA,593.94
Demand No. 88,584,Department of Science and Technology ,"Innovation, Technology Development and Deployment",811.79, NA,811.79,1050.65, NA,1050.65,656.3, NA ,656.3,951.95, NA,951.95
Demand No. 88,585,Department of Science and Technology ,National Mission on Interdisciplinary Cyber Physical Systems,122.79, NA,122.79,270.85, NA,270.85,270.85, NA ,270.85,270, NA,270
Demand No. 89,586,Department of Biotechnology ,Biotechnology Research and Development,1305.37, NA,1305.37,1580, NA,1580,1323.23, NA ,1323.23,1660.28, NA,1660.28
Demand No. 89,587,Department of Biotechnology ,Industrial and Entrepreneurship Development,230.6, NA,230.6,322.67, NA,322.67,343.77, NA ,343.77,960, NA,960
Demand No. 90,588,Department of Scientific and Industrial Research ,Industrial Research and Development,6.54,0.3,6.84,26.6,4,30.6,12.5, NA ,12.5,19.35,1.65,21
Demand No. 90,589,Department of Scientific and Industrial Research ,Assistance to PSEs for Other Scientific Research Schemes,17.55,1.65,19.2,17.6,1.8,19.4,7.58,1.8,9.38,14, NA,14
Demand No. 92,590,Department of Social Justice and Empowerment ,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for SCs, NA, NA, NA, NA, NA, NA, NA, NA , NA,450, NA,450
Demand No. 92,591,Department of Social Justice and Empowerment ,Scheme of Residential Education for Students in High School in Targeted Area (SRESHTA) for SCs, NA, NA, NA, NA, NA, NA, NA, NA , NA,200, NA,200
Demand No. 92,592,Department of Social Justice and Empowerment ,Vanchit Ikai Samooh aur Vargon ki Arthik Sahayata (VISVAS) Yojana, NA, NA, NA, NA, NA, NA,64.13, NA ,64.13,150, NA,150
Demand No. 92,593,Department of Social Justice and Empowerment ,Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM DAKSH) Yojana, NA, NA, NA, NA, NA, NA, NA, NA , NA,100, NA,100
Demand No. 92,594,Department of Social Justice and Empowerment ,Venture Capital Fund for SCs and OBCs, NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,120,120
Demand No. 92,595,Department of Social Justice and Empowerment ,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for OBCs and EBCs, NA, NA, NA, NA, NA, NA, NA, NA , NA,130, NA,130
Demand No. 92,596,Department of Social Justice and Empowerment ,Scheme for Economic Empowerment of DNT/NT/SNTs (SEED), NA, NA, NA, NA, NA, NA, NA, NA , NA,50, NA,50
Demand No. 92,597,Department of Social Justice and Empowerment ,Support for Marginalized Individuals for Livelihood & Enterprise (SMILE), NA, NA, NA, NA, NA, NA, NA, NA , NA,70, NA,70
Demand No. 92,598,Department of Social Justice and Empowerment ,Self Employment Scheme for Rehabilitation of Manual Scavengers,84.8, NA,84.8,110, NA,110,30, NA ,30,100, NA,100
Demand No. 92,599,Department of Social Justice and Empowerment ,"Information, Monitoring, Evaluation and Social Audit",10.93, NA,10.93,20, NA,20,5, NA ,5,25, NA,25
Demand No. 92,600,Department of Social Justice and Empowerment ,National Fellowship for SCs,246.66, NA,246.66,300, NA,300,125, NA ,125, NA, NA, NA
Demand No. 92,601,Department of Social Justice and Empowerment ,National Fellowship for Other Backward Classes and Economically Backward Classes,52.5, NA,52.5,120, NA,120,45, NA ,45, NA, NA, NA
Demand No. 92,602,Department of Social Justice and Empowerment ,Free Coaching for SC and OBC Students,13.26, NA,13.26,30, NA,30,30, NA ,30, NA, NA, NA
Demand No. 92,603,Department of Social Justice and Empowerment ,Top Class Education for SCs,39.7, NA,39.7,40, NA,40,50, NA ,50, NA, NA, NA
Demand No. 92,604,Department of Social Justice and Empowerment ,National Overseas Scholarship for SCs,32.76, NA,32.76,20, NA,20,30, NA ,30, NA, NA, NA
Demand No. 92,605,Department of Social Justice and Empowerment ,National Overseas Scholarships for OBCs,26.09, NA,26.09,35, NA,35,35, NA ,35, NA, NA, NA
Demand No. 92,606,Department of Social Justice and Empowerment ,Rashtriya Vayoshri Yojanaa, NA, NA, NA,1, NA,1, NA, NA , NA, NA, NA, NA
Demand No. 92,607,Department of Social Justice and Empowerment ,Assistance to Voluntary Organisations working for SCs,67.17, NA,67.17,100, NA,100,125, NA ,125, NA, NA, NA
Demand No. 92,608,Department of Social Justice and Empowerment ,Credit Guarantee Fund for SCs, NA, NA, NA, NA,1,1, NA, NA , NA, NA, NA, NA
Demand No. 92,609,Department of Social Justice and Empowerment ,Assistance to Voluntary Organisations for Programmes Relating to Aged,107.3, NA,107.3, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 92,610,Department of Social Justice and Empowerment ,Scheme for Prevention of Alcoholism and Substance (Drugs) Abuse,108.93, NA,108.93, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 92,611,Department of Social Justice and Empowerment ,Research Studies and Publications,3.07, NA,3.07, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 92,612,Department of Social Justice and Empowerment ,Integrated Programme for Rehabilitation of Beggars,21.14, NA,21.14,100, NA,100, NA, NA , NA, NA, NA, NA
Demand No. 92,613,Department of Social Justice and Empowerment ,Scheme for Transgender Persons,4.5, NA,4.5,10, NA,10, NA, NA , NA, NA, NA, NA
Demand No. 92,614,Department of Social Justice and Empowerment ,Assistance to Voluntary Organisations for Providing Social Defence Services,3, NA,3,4, NA,4,3, NA ,3, NA, NA, NA
Demand No. 92,615,Department of Social Justice and Empowerment ,Assistance to Voluntary Organisations for OBCs,34, NA,34,50, NA,50,50, NA ,50, NA, NA, NA
Demand No. 93,616,Department of Empowerment of Persons with Disabilities ,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,213.83, NA,213.83,230, NA,230,195, NA ,195,220, NA,220
Demand No. 93,617,Department of Empowerment of Persons with Disabilities ,Information and Mass Education Cell,6.63, NA,6.63, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 93,618,Department of Empowerment of Persons with Disabilities ,Deendayal Disabled Rehabilitation Scheme,101.61, NA,101.61,130, NA,130,85, NA ,85,125, NA,125
Demand No. 93,619,Department of Empowerment of Persons with Disabilities ,Support to Establishment/Modernization/Capacity augmentation of Braille Presses,0.87, NA,0.87, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 93,620,Department of Empowerment of Persons with Disabilities ,Support of National Trust,20, NA,20,39.5, NA,39.5,30, NA ,30,30, NA,30
Demand No. 93,621,Department of Empowerment of Persons with Disabilities ,Indian Spinal Injury Centre, NA, NA, NA,4, NA,4,4, NA ,4, NA, NA, NA
Demand No. 93,622,Department of Empowerment of Persons with Disabilities ,Scheme for implementation of Persons with Disability Act,217.34, NA,217.34,251.5, NA,251.5,122.89, NA ,122.89,209.77, NA,209.77
Demand No. 93,623,Department of Empowerment of Persons with Disabilities ,Scholarship for Students with Disabilidties,95.15, NA,95.15,125, NA,125,100, NA ,100,125, NA,125
Demand No. 94,624,Department of Space ,Space Technology,3498.49,5374.82,8873.31,3393.51,6367.99,9761.5,2991.07,3549.78,6540.85,3573.26,6676.9,10250.16
Demand No. 94,625,Department of Space ,Space Applications,1070.02,724.95,1794.97,1097.8,712.2,1810,925.38,265.12,1190.5,1074.82,402.03,1476.85
Demand No. 94,626,Department of Space ,Space Sciences,97.95,174.49,272.44,93.01,171.99,265,36.23,152.28,188.51,107.36,167.14,274.5
Demand No. 94,627,Department of Space ,INSAT Satellite Systems,236.6,848.7,1085.3,269.71,480.79,750.5,217.39,554.49,771.88,54.93,274.68,329.61
Demand No. 95,628,Ministry of Statistics and Programme Implementation ,Member of Parliament Local Area Development Scheme (MPLAD),3642.5, NA,3642.5,3960, NA,3960,2, NA ,2,20.1, NA,20.1
Demand No. 95,629,Ministry of Statistics and Programme Implementation ,Capacity Development (CD),554.35,9.92,564.27,688.05,17.95,706,710.35,3.61,713.96,585.32,13.04,598.36
Demand No. 95,630,Ministry of Statistics and Programme Implementation ,National programme for improving Quality of Statistics in India, NA, NA, NA, NA, NA, NA, NA, NA , NA,28.52, NA,28.52
Demand No. 96,631,Ministry of Steel ,Scheme for Promotion of Research and Development in Iron and Steel sector,15, NA,15,15, NA,15,5, NA ,5,5, NA,5
Demand No. 97,632,Ministry of Textiles ,Amended Technology Upgradation Fund Scheme(ATUFS),317.9, NA,317.9,761.9, NA,761.9,545, NA ,545,700, NA,700
Demand No. 97,633,Ministry of Textiles ,Procurement of Cotton by Cotton Corporation under Price Support Scheme,2017.57, NA,2017.57,0.01, NA,0.01,865, NA ,865,136, NA,136
Demand No. 97,634,Ministry of Textiles ,National Handloom Development Programme,124.87,17,141.87,190,15,205,145,20,165,200,20,220
Demand No. 97,635,Ministry of Textiles ,Handloom Weaver Comprehensive Welfare Scheme (HWCWS),8.04, NA,8.04,10, NA,10,1, NA ,1,1, NA,1
Demand No. 97,636,Ministry of Textiles ,Yarn Supply Scheme,142.21, NA,142.21,155, NA,155,70, NA ,70,155, NA,155
Demand No. 97,637,Ministry of Textiles ,Trade Facilitation Centre and Crafts Museum,5.05, NA,5.05,10, NA,10,8.87, NA ,8.87,13.5, NA,13.5
Demand No. 97,638,Ministry of Textiles ,Handloom Cluster Development Program - Handloom Mega Cluster,16.22, NA,16.22,14, NA,14,9, NA ,9,10, NA,10
Demand No. 97,639,Ministry of Textiles ,Weavers Service Centre,46.65, NA,46.65,60, NA,60,60, NA ,60,61.5, NA,61.5
Demand No. 97,640,Ministry of Textiles ,Other Handloom Schemes,24.97, NA,24.97,31, NA,31,31, NA ,31,34.32, NA,34.32
Demand No. 97,641,Ministry of Textiles ,Training and Extension,15.68, NA,15.68,19.5, NA,19.5,16.5, NA ,16.5,18, NA,18
Demand No. 97,642,Ministry of Textiles ,Design and Technical Upgradation Scheme,68.46, NA,68.46,74.5, NA,74.5,50, NA ,50,74, NA,74
Demand No. 97,643,Ministry of Textiles ,Ambedkar Hasthshilp Vikas Yojana,5.98, NA,5.98,24, NA,24,15, NA ,15,30, NA,30
Demand No. 97,644,Ministry of Textiles ,Marketing Support and Services,42.15, NA,42.15,59, NA,59,20.79, NA ,20.79,55, NA,55
Demand No. 97,645,Ministry of Textiles ,Handicrafts Artisans comprehensive welfare scheme,13.76, NA,13.76,31, NA,31,31, NA ,31,29, NA,29
Demand No. 97,646,Ministry of Textiles ,Research and Development - Handicrafts,8.77, NA,8.77,9.5, NA,9.5,7.5, NA ,7.5,9.5, NA,9.5
Demand No. 97,647,Ministry of Textiles ,Human Resource Development- Handicrafts,23.4, NA,23.4,26, NA,26,15, NA ,15,26, NA,26
Demand No. 97,648,Ministry of Textiles ,Infrastructure and Technology Development Scheme,1.76,20,21.76,6,36,42,10,36,46,16,20,36
Demand No. 97,649,Ministry of Textiles ,Development of other crafts in J and K, NA, NA, NA,0.01, NA,0.01,0.01, NA ,0.01, NA, NA, NA
Demand No. 97,650,Ministry of Textiles ,Handicraft Cluster Development Program - Handicraft Mega Cluster,32.12, NA,32.12,35, NA,35,14, NA ,14,15, NA,15
Demand No. 97,651,Ministry of Textiles ,Other Handicraft schemes,50.08, NA,50.08,67.2, NA,67.2,60.1, NA ,60.1,65, NA,65
Demand No. 97,652,Ministry of Textiles ,Hast Kala Academy, NA, NA, NA,0.5, NA,0.5, NA, NA , NA, NA, NA, NA
Demand No. 97,653,Ministry of Textiles ,Integrated Wool Development Programme,16.5, NA,16.5,20, NA,20,10, NA ,10,16.5, NA,16.5
Demand No. 97,654,Ministry of Textiles ,Central Silk Board,787.61, NA,787.61,800, NA,800,650, NA ,650,875, NA,875
Demand No. 97,655,Ministry of Textiles ,Silk Mega Cluster, NA, NA, NA,10, NA,10, NA, NA , NA,1, NA,1
Demand No. 97,656,Ministry of Textiles ,Scheme for Development of Jute Sector,65, NA,65,95, NA,95,40, NA ,40,80, NA,80
Demand No. 97,657,Ministry of Textiles ,Subsidy to Jute Corporation of India towards market operation,37.9, NA,37.9,40, NA,40,30, NA ,30,70, NA,70
Demand No. 97,658,Ministry of Textiles ,"Others (IJIRA, COP JC)",1.52, NA,1.52,1.53, NA,1.53,1.53, NA ,1.53,3.01, NA,3.01
Demand No. 97,659,Ministry of Textiles ,Power Tex India,41.52,0.02,41.54,110, NA,110,50, NA ,50,50, NA,50
Demand No. 97,660,Ministry of Textiles ,Comprehensive Powerloom Cluster Development Program - Powerloom Mega Cluster, NA, NA, NA,25, NA,25,10, NA ,10,24.28, NA,24.28
Demand No. 97,661,Ministry of Textiles ,Group Insurance Scheme, NA, NA, NA,5, NA,5, NA, NA , NA, NA, NA, NA
Demand No. 97,662,Ministry of Textiles ,Integrated Processing Development Scheme,10.17, NA,10.17,50, NA,50,40, NA ,40,75, NA,75
Demand No. 97,663,Ministry of Textiles ,Scheme for Integrated Textile Parks (SITP),41.01, NA,41.01,80, NA,80,60, NA ,60,80, NA,80
Demand No. 97,664,Ministry of Textiles ,Workers Hostel,0.77, NA,0.77,5, NA,5, NA, NA , NA, NA, NA, NA
Demand No. 97,665,Ministry of Textiles ,Assistant to Textile Committee,82.65, NA,82.65,80, NA,80,39, NA ,39,45, NA,45
Demand No. 97,666,Ministry of Textiles ,Flatted Factory cum Incubators,6.05, NA,6.05,8, NA,8,3, NA ,3,4, NA,4
Demand No. 97,667,Ministry of Textiles ,Export Promotion Studies,2.26, NA,2.26,34, NA,34,5, NA ,5,30, NA,30
Demand No. 97,668,Ministry of Textiles ,"Others (TRAs, COP)",10.38, NA,10.38,11.5, NA,11.5,11.16, NA ,11.16,17, NA,17
Demand No. 97,669,Ministry of Textiles ,Integrated Scheme for Skill Development,72.07, NA,72.07,150, NA,150,80, NA ,80,100, NA,100
Demand No. 97,670,Ministry of Textiles ,R and D Textiles,7.8, NA,7.8,23, NA,23,10, NA ,10,10, NA,10
Demand No. 97,671,Ministry of Textiles ,National Institute of Fashion Technology (NIFT),57.16, NA,57.16,110, NA,110,80, NA ,80,100, NA,100
Demand No. 97,672,Ministry of Textiles ,Technology Mission on Technical Textile, NA, NA, NA,0.01, NA,0.01,15, NA ,15, NA, NA, NA
Demand No. 97,673,Ministry of Textiles ,National Technical Textiles Mission., NA, NA, NA, NA, NA, NA, NA, NA , NA,100, NA,100
Demand No. 97,674,Ministry of Textiles ,NER Textiles Promotion Scheme,115.79, NA,115.79,125, NA,125,40.4, NA ,40.4,75, NA,75
Demand No. 97,675,Ministry of Textiles ,Scheme for Usage of Geotextiles in North East,1.42, NA,1.42,10, NA,10,2, NA ,2, NA, NA, NA
Demand No. 97,676,Ministry of Textiles ,Scheme for Promoting Agro Textiles in North East, NA, NA, NA,0.6, NA,0.6, NA, NA , NA, NA, NA, NA
Demand No. 98,677,Ministry of Tourism ,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),565.93, NA,565.93,1200, NA,1200,600, NA ,600,630, NA,630
